OperationID,Component name,CorrectDetectedFacesMetric,Detected Faces,ImageFormatMetric,ImageNumberOfFacesMetric,ImageNumberOfPixelsMetric,ImageSizeMetric,Input name,Response time (in SECONDS)
0,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,193950,18071,/storage/emulated/0/FDDB-folds-01/2002_08_11_big_img_591.jpg,0.230467
1,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,3,136945,15821,/storage/emulated/0/FDDB-folds-01/2002_08_26_big_img_265.jpg,0.353703616
2,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,202050,25283,/storage/emulated/0/FDDB-folds-01/2002_07_19_big_img_423.jpg,0.150814231
3,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166500,22832,/storage/emulated/0/FDDB-folds-01/2002_08_24_big_img_490.jpg,0.228840846
4,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,163800,25119,/storage/emulated/0/FDDB-folds-01/2002_08_31_big_img_17676.jpg,0.203001616
5,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,184050,34050,/storage/emulated/0/FDDB-folds-01/2002_07_31_big_img_228.jpg,0.322190461
6,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,3,139950,27025,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_402.jpg,0.209203308
7,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,143100,16986,/storage/emulated/0/FDDB-folds-01/2002_08_04_big_img_769.jpg,0.189994462
8,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,142650,19949,/storage/emulated/0/FDDB-folds-01/2002_07_19_big_img_581.jpg,0.150586769
9,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,156252,19888,/storage/emulated/0/FDDB-folds-01/2002_08_13_big_img_723.jpg,0.13987477
10,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,153450,17298,/storage/emulated/0/FDDB-folds-01/2002_08_12_big_img_821.jpg,0.154963077
11,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,6,120540,22702,/storage/emulated/0/FDDB-folds-01/2003_01_17_big_img_610.jpg,0.206161539
12,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,143100,25982,/storage/emulated/0/FDDB-folds-01/2002_08_13_big_img_1116.jpg,0.127166
13,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,152100,20343,/storage/emulated/0/FDDB-folds-01/2002_08_28_big_img_19238.jpg,0.215285769
14,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,173700,32119,/storage/emulated/0/FDDB-folds-01/2002_08_21_big_img_660.jpg,0.188933538
15,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,131850,25851,/storage/emulated/0/FDDB-folds-01/2002_08_14_big_img_607.jpg,0.188964923
16,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,144900,20740,/storage/emulated/0/FDDB-folds-01/2002_08_05_big_img_3708.jpg,0.181261615
17,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,143680,23561,/storage/emulated/0/FDDB-folds-01/2002_08_19_big_img_511.jpg,0.218216385
18,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,143100,19712,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1316.jpg,0.195356693
19,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,164700,15907,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_1047.jpg,0.169025077
20,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,167850,24348,/storage/emulated/0/FDDB-folds-01/2002_07_23_big_img_474.jpg,0.254845
21,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,132750,21156,/storage/emulated/0/FDDB-folds-01/2002_07_27_big_img_970.jpg,0.223877692
22,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,168300,20486,/storage/emulated/0/FDDB-folds-01/2002_09_02_big_img_15752.jpg,0.149926692
23,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,3,119700,22616,/storage/emulated/0/FDDB-folds-01/2002_09_01_big_img_16378.jpg,0.242321
24,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166950,14971,/storage/emulated/0/FDDB-folds-01/2002_09_01_big_img_16189.jpg,0.177317769
25,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,162450,21718,/storage/emulated/0/FDDB-folds-01/2002_08_26_big_img_276.jpg,0.154017307
26,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,178200,37081,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_518.jpg,0.263395846
27,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,153450,16315,/storage/emulated/0/FDDB-folds-01/2002_08_14_big_img_1027.jpg,0.284307461
28,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,153000,21465,/storage/emulated/0/FDDB-folds-01/2002_08_24_big_img_733.jpg,0.153788231
29,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,158400,19931,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_249.jpg,0.170104154
30,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,133250,17754,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_1371.jpg,0.154784385
31,GMS Face API with allLandmarks  allClassifications accurateMode,1,2,jpg,3,147600,22200,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1348.jpg,0.196953154
32,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,184500,15659,/storage/emulated/0/FDDB-folds-01/2003_01_01_big_img_331.jpg,0.231215692
33,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,139050,20874,/storage/emulated/0/FDDB-folds-01/2002_08_23_big_img_536.jpg,0.146587308
34,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,172350,26933,/storage/emulated/0/FDDB-folds-01/2002_07_30_big_img_224.jpg,0.247149923
35,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,138150,18107,/storage/emulated/0/FDDB-folds-01/2002_08_10_big_img_763.jpg,0.169546462
36,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,151200,26533,/storage/emulated/0/FDDB-folds-01/2002_08_21_big_img_293.jpg,0.145360923
37,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,145350,12739,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_1211.jpg,0.164038307
38,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,154350,25565,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_1194.jpg,0.191717307
39,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,126381,17788,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_390.jpg,0.170485154
40,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166050,22491,/storage/emulated/0/FDDB-folds-01/2002_08_06_big_img_2893.jpg,0.195352077
41,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,7,153109,18402,/storage/emulated/0/FDDB-folds-01/2002_08_17_big_img_691.jpg,0.298419616
42,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,143100,15043,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1695.jpg,0.151251846
43,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,133200,17555,/storage/emulated/0/FDDB-folds-01/2002_08_16_big_img_829.jpg,0.139261153
44,GMS Face API with allLandmarks  allClassifications accurateMode,1,2,jpg,1,144000,12588,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_201.jpg,0.166088692
45,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,159844,20870,/storage/emulated/0/FDDB-folds-01/2002_08_23_big_img_36.jpg,0.264749538
46,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,148010,24718,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_763.jpg,0.131336308
47,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,138170,20712,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_637.jpg,0.186920077
48,GMS Face API with allLandmarks  allClassifications accurateMode,1,2,jpg,1,134100,24746,/storage/emulated/0/FDDB-folds-01/2002_08_22_big_img_592.jpg,0.169195308
49,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,172350,22221,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_817.jpg,0.220432231
50,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,124230,18192,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_1219.jpg,0.151067539
51,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,134251,23910,/storage/emulated/0/FDDB-folds-01/2002_08_05_big_img_3508.jpg,0.192461615
52,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,135000,17618,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_1108.jpg,0.235491231
53,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,169650,29201,/storage/emulated/0/FDDB-folds-01/2002_07_19_big_img_488.jpg,0.208246231
54,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,111657,16139,/storage/emulated/0/FDDB-folds-01/2003_01_16_big_img_704.jpg,0.186947923
55,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,148420,16660,/storage/emulated/0/FDDB-folds-01/2003_01_13_big_img_1087.jpg,0.196125692
56,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,177750,19383,/storage/emulated/0/FDDB-folds-01/2002_08_10_big_img_670.jpg,0.171180538
57,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,132300,20930,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_104.jpg,0.139348923
58,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166050,17934,/storage/emulated/0/FDDB-folds-01/2002_08_27_big_img_19823.jpg,0.244989077
59,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,176850,28176,/storage/emulated/0/FDDB-folds-01/2002_09_01_big_img_16229.jpg,0.267757692
