OperationID,Component name,CorrectDetectedFacesMetric,Detected Faces,ImageFormatMetric,ImageNumberOfFacesMetric,ImageNumberOfPixelsMetric,ImageSizeMetric,Input name,Response time (in SECONDS)
0,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,193950,18071,/storage/sdcard0/FDDB-folds-01/2002_08_11_big_img_591.jpg,1.156813673
1,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,3,136945,15821,/storage/sdcard0/FDDB-folds-01/2002_08_26_big_img_265.jpg,2.309720738
2,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,202050,25283,/storage/sdcard0/FDDB-folds-01/2002_07_19_big_img_423.jpg,0.961147565
3,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,166500,22832,/storage/sdcard0/FDDB-folds-01/2002_08_24_big_img_490.jpg,1.339111859
4,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,2,163800,25119,/storage/sdcard0/FDDB-folds-01/2002_08_31_big_img_17676.jpg,1.004578055
5,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,184050,34050,/storage/sdcard0/FDDB-folds-01/2002_07_31_big_img_228.jpg,1.744880208
6,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,3,139950,27025,/storage/sdcard0/FDDB-folds-01/2002_07_24_big_img_402.jpg,1.405981993
7,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,143100,16986,/storage/sdcard0/FDDB-folds-01/2002_08_04_big_img_769.jpg,1.35486037
8,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,142650,19949,/storage/sdcard0/FDDB-folds-01/2002_07_19_big_img_581.jpg,1.341736608
9,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,156252,19888,/storage/sdcard0/FDDB-folds-01/2002_08_13_big_img_723.jpg,0.966976957
10,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,153450,17298,/storage/sdcard0/FDDB-folds-01/2002_08_12_big_img_821.jpg,1.039340763
11,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,6,120540,22702,/storage/sdcard0/FDDB-folds-01/2003_01_17_big_img_610.jpg,1.65832443
12,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,2,143100,25982,/storage/sdcard0/FDDB-folds-01/2002_08_13_big_img_1116.jpg,0.87941401
13,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,152100,20343,/storage/sdcard0/FDDB-folds-01/2002_08_28_big_img_19238.jpg,1.738074164
14,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,173700,32119,/storage/sdcard0/FDDB-folds-01/2002_08_21_big_img_660.jpg,1.186052189
15,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,131850,25851,/storage/sdcard0/FDDB-folds-01/2002_08_14_big_img_607.jpg,1.11387151
16,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,144900,20740,/storage/sdcard0/FDDB-folds-01/2002_08_05_big_img_3708.jpg,1.182847551
17,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,143680,23561,/storage/sdcard0/FDDB-folds-01/2002_08_19_big_img_511.jpg,1.974881732
18,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,143100,19712,/storage/sdcard0/FDDB-folds-01/2002_08_07_big_img_1316.jpg,1.380711124
19,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,2,164700,15907,/storage/sdcard0/FDDB-folds-01/2002_07_25_big_img_1047.jpg,0.717533954
20,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,167850,24348,/storage/sdcard0/FDDB-folds-01/2002_07_23_big_img_474.jpg,1.948206927
21,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,132750,21156,/storage/sdcard0/FDDB-folds-01/2002_07_27_big_img_970.jpg,1.439279719
