OperationID,Component name,CorrectDetectedFacesMetric,Detected Faces,ImageFormatMetric,ImageNumberOfFacesMetric,ImageNumberOfPixelsMetric,ImageSizeMetric,Input name,Response time (in SECONDS)
0,GMS Face API,1,1,jpg,1,193950,18071,/storage/emulated/0/FDDB-folds-01/2002_08_11_big_img_591.jpg,0.242391625
1,GMS Face API,3,3,jpg,3,136945,15821,/storage/emulated/0/FDDB-folds-01/2002_08_26_big_img_265.jpg,0.198917541
2,GMS Face API,0,0,jpg,1,202050,25283,/storage/emulated/0/FDDB-folds-01/2002_07_19_big_img_423.jpg,0.316538125
3,GMS Face API,1,1,jpg,1,166500,22832,/storage/emulated/0/FDDB-folds-01/2002_08_24_big_img_490.jpg,0.300748875
4,GMS Face API,1,1,jpg,2,163800,25119,/storage/emulated/0/FDDB-folds-01/2002_08_31_big_img_17676.jpg,0.2355805
5,GMS Face API,2,2,jpg,2,184050,34050,/storage/emulated/0/FDDB-folds-01/2002_07_31_big_img_228.jpg,0.288845875
6,GMS Face API,2,2,jpg,3,139950,27025,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_402.jpg,0.185876791
7,GMS Face API,1,1,jpg,2,143100,16986,/storage/emulated/0/FDDB-folds-01/2002_08_04_big_img_769.jpg,0.244531917
8,GMS Face API,1,1,jpg,1,142650,19949,/storage/emulated/0/FDDB-folds-01/2002_07_19_big_img_581.jpg,0.214536543
9,GMS Face API,1,1,jpg,1,156252,19888,/storage/emulated/0/FDDB-folds-01/2002_08_13_big_img_723.jpg,0.196515959
10,GMS Face API,1,1,jpg,1,153450,17298,/storage/emulated/0/FDDB-folds-01/2002_08_12_big_img_821.jpg,0.145658875
11,GMS Face API,2,2,jpg,6,120540,22702,/storage/emulated/0/FDDB-folds-01/2003_01_17_big_img_610.jpg,0.175431083
12,GMS Face API,1,1,jpg,2,143100,25982,/storage/emulated/0/FDDB-folds-01/2002_08_13_big_img_1116.jpg,0.211103625
13,GMS Face API,2,2,jpg,2,152100,20343,/storage/emulated/0/FDDB-folds-01/2002_08_28_big_img_19238.jpg,0.304788416
14,GMS Face API,1,1,jpg,1,173700,32119,/storage/emulated/0/FDDB-folds-01/2002_08_21_big_img_660.jpg,0.289856458
15,GMS Face API,1,1,jpg,1,131850,25851,/storage/emulated/0/FDDB-folds-01/2002_08_14_big_img_607.jpg,0.247614666
16,GMS Face API,1,1,jpg,2,144900,20740,/storage/emulated/0/FDDB-folds-01/2002_08_05_big_img_3708.jpg,0.209798791
17,GMS Face API,2,2,jpg,2,143680,23561,/storage/emulated/0/FDDB-folds-01/2002_08_19_big_img_511.jpg,0.24957475
18,GMS Face API,2,2,jpg,2,143100,19712,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1316.jpg,0.185597625
19,GMS Face API,1,1,jpg,2,164700,15907,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_1047.jpg,0.377538583
20,GMS Face API,2,2,jpg,2,167850,24348,/storage/emulated/0/FDDB-folds-01/2002_07_23_big_img_474.jpg,0.234051417
